,Unnamed: 0,Company,2022_Valuation,2023_Valuation,2024_Valuation,Date Joined,Country,City,Industry,Select Investors,Overall_Growth,CAGR (%),Lat,Lng
0,0,ByteDance,140.0,225.0,225.0,4/7/2017,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",85.0,26.77,39.7457136,116.2312972
1,1,SpaceX,127.0,137.0,150.0,12/1/2012,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",23.0,8.68,29.5530453,-82.1095123
2,2,SHEIN,100.0,66.0,66.0,7/3/2018,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",-34.0,-18.76,22.2875999,113.6793565
3,3,Stripe,95.0,50.0,65.0,1/23/2014,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",-30.0,-17.28,37.6403143,-123.173825
4,4,Canva,40.0,40.0,25.4,1/8/2018,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",-14.6,-20.31,-33.8921062,151.2018459
5,5,Checkout.com,40.0,11.0,11.0,5/2/2019,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",-29.0,-47.56,51.2867601,-0.5103751
6,6,Databricks,38.0,31.0,43.0,2/5/2019,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",5.0,6.38,37.6403143,-123.173825
7,7,Revolut,33.0,33.0,33.0,4/26/2018,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",0.0,0.0,51.2867601,-0.5103751
8,8,Epic Games,31.5,31.5,22.5,10/26/2018,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",-9.0,-15.48,35.6443755,-78.9537968
9,9,Fanatics,27.0,31.0,31.0,6/6/2012,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",4.0,7.15,30.103748,-82.0493895
10,10,Chime,25.0,25.0,25.0,3/5/2019,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",0.0,0.0,37.6403143,-123.173825
11,11,BYJU's,22.0,11.5,11.5,7/25/2017,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",-10.5,-27.7,12.8167936,77.430082
12,12,Xiaohongshu,20.0,20.0,20.0,3/31/2016,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent",0.0,0.0,31.0723437,121.3091024
13,13,Miro,17.5,17.5,17.5,1/5/2022,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",0.0,0.0,37.6403143,-123.173825
14,14,Yuanfudao,15.5,15.5,15.5,5/31/2017,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",0.0,0.0,39.7457136,116.2312972
15,15,DJI Innovations,15.0,15.0,15.0,1/23/2015,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",0.0,0.0,22.2875999,113.6793565
16,16,Discord,15.0,15.0,15.0,4/20/2018,United States,San Francisco,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings",0.0,0.0,37.6403143,-123.173825
17,17,Yuanqi Senlin,15.0,15.0,15.0,3/1/2020,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",0.0,0.0,39.7457136,116.2312972
18,18,Ripple,15.0,15.0,15.0,12/20/2019,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",0.0,0.0,37.6403143,-123.173825
19,19,Blockchain.com,14.0,14.0,7.0,2/17/2021,United Kingdom,London,Fintech,"Lightspeed Venture Partners, Google Ventures, Lakestar",-7.0,-29.29,51.2867601,-0.5103751
20,20,Plaid,13.5,13.5,13.5,12/11/2018,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",0.0,0.0,37.6403143,-123.173825
21,21,OpenSea,13.3,13.3,13.3,7/20/2021,United States,New York,Internet software & services,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",0.0,0.0,40.476578,-74.258843
22,22,Celonis,13.0,13.0,13.0,6/26/2018,Germany,Munich,Data management & analytics,"Accel, 83North",0.0,0.0,48.0616244,11.360777
23,23,Grammarly,13.0,13.0,13.0,10/10/2019,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",0.0,0.0,37.6403143,-123.173825
24,24,Devoted Health,12.6,12.6,12.9,10/16/2018,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",0.3,1.18,42.3536377,-71.2860312
25,25,Faire,12.59,12.59,12.59,10/30/2019,United States,San Francisco,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",0.0,0.0,37.6403143,-123.173825
26,26,Brex,12.3,12.3,12.3,10/5/2018,United States,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management",0.0,0.0,37.6403143,-123.173825
27,27,JUUL Labs,12.0,12.0,12.0,12/20/2017,United States,San Francisco,Consumer & retail,Tiger Global Management,0.0,0.0,37.6403143,-123.173825
28,28,Bitmain Technologies,12.0,12.0,12.0,7/6/2018,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",0.0,0.0,39.7457136,116.2312972
29,29,GoodLeap,12.0,12.0,12.0,10/13/2021,United States,Roseville,Internet software & services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",0.0,0.0,38.7163523,-121.400248
30,30,Xingsheng Selected,12.0,12.0,12.0,7/22/2020,China,Changsha,E-commerce & direct-to-consumer,"KKR, Tencent Holdings, Sequoia Capital China",0.0,0.0,28.0712227,112.7734574
31,31,Deel,12.0,12.0,12.0,4/21/2021,United States,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator",0.0,0.0,37.6403143,-123.173825
32,32,Getir,11.8,8.8,8.8,3/26/2021,Turkey,Istanbul,"Supply chain, logistics, & delivery","Tiger Global Management, Sequoia Capital, Revo Capital",-3.0,-13.64,40.846381,28.8158715
33,33,Airtable,11.7,11.7,11.7,11/15/2018,United States,San Francisco,Internet software & services,"Caffeinated Capital, CRV, Founder Collective",0.0,0.0,37.6403143,-123.173825
34,34,ZongMu Technology,11.4,11.4,11.4,6/3/2021,China,Shanghai,Auto & transportation,"LTW Capital, Legend Capital, Qualcomm Ventures",0.0,0.0,31.0723437,121.3091024
35,35,Rippling,11.25,11.25,11.25,8/4/2020,United States,San Francisco,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",0.0,0.0,37.6403143,-123.173825
36,36,Global Switch,11.1,11.1,11.1,12/22/2016,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",0.0,0.0,51.2867601,-0.5103751
37,37,Bolt,11.0,11.0,11.0,10/8/2021,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",0.0,0.0,37.6403143,-123.173825
38,38,Bolt,11.0,11.0,8.4,10/8/2021,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",-2.6,-12.61,37.6403143,-123.173825
39,39,Bolt,11.0,8.4,11.0,10/8/2021,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",0.0,0.0,37.6403143,-123.173825
40,40,Bolt,11.0,8.4,8.4,10/8/2021,United States,San Francisco,Fintech,"Activant Capital, Tribe Capital, General Atlantic",-2.6,-12.61,37.6403143,-123.173825
41,41,Alchemy,10.2,10.2,10.2,10/28/2021,United States,San Francisco,Fintech,"DFJ Growth Fund, Coatue Management, Addition",0.0,0.0,37.6403143,-123.173825
42,42,Swiggy,10.7,8.0,8.0,6/21/2018,India,Bengaluru,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners",-2.7,-13.53,12.8167936,77.430082
43,43,Gusto,10.0,10.0,10.0,12/18/2015,United States,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",0.0,0.0,37.6403143,-123.173825
44,44,Chehaoduo,10.0,10.0,10.0,3/12/2016,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",0.0,0.0,39.7457136,116.2312972
45,45,Talkdesk,10.0,10.0,10.0,10/3/2018,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",0.0,0.0,37.6403143,-123.173825
46,46,Digital Currency Group,10.0,10.0,10.0,11/1/2021,United States,New York,Fintech,"Ribbit Capital, capitalG, Softbank Group",0.0,0.0,40.476578,-74.258843
47,47,KuCoin,10.0,10.0,10.0,5/10/2022,Seychelles,Victoria,Fintech,"IDG Capital, Matrix Partners China, Jump Crypto",0.0,0.0,-4.7832085,55.292359
48,48,OutSystems,9.5,4.3,4.3,6/5/2018,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",-5.2,-32.72,42.2279112,-71.1912442
49,49,ServiceTitan,9.5,9.5,9.5,11/14/2018,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",0.0,0.0,34.118761,-118.3078696
50,50,HEYTEA,9.28,9.28,9.28,7/1/2019,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",0.0,0.0,22.2875999,113.6793565
